Customer_ID,Customer_Type,Region,Monthly_Quantity,Purchase_Frequency,Average_Order,Payment_Delay_Days,Credit_Limit,Relationship_Years,Previous_Month_Sales,Current_Month_Sales,Growth_Percentage,Complaint_Count,Customer_Category
C0039,Contractor,Madurai,250,5,59,6,149231,3,25000,27390,9.56,0,Low Value
C0040,Contractor,Coimbatore,90,1,95,8,279535,7,25000,24588,-1.65,1,Low Value
C0041,Dealer,Chennai,572,7,100,7,710555,11,51118,58244,13.94,2,Regular
C0042,Contractor,Tirunelveli,740,9,70,4,865932,3,50876,51018,0.28,3,Regular
C0043,Dealer,Coimbatore,123,3,51,13,326073,3,25000,25950,3.8,0,Low Value
C0044,Retailer,Salem,258,1,267,5,248734,1,56486,61169,8.29,0,Low Value
C0045,Dealer,Dindigul,633,6,98,4,633133,5,68602,65247,-4.89,4,Regular
C0046,Contractor,Salem,1395,17,90,2,1727038,4,124731,151049,21.1,5,High Value
C0047,Dealer,Trichy,455,8,60,5,528161,7,30852,33669,9.13,2,Regular
C0048,Contractor,Madurai,302,3,99,5,455916,7,34368,36695,6.77,1,Low Value
C0049,Contractor,Dindigul,407,1,300,1,433716,2,109737,108431,-1.19,1,Low Value
C0050,Dealer,Madurai,959,13,68,7,824359,8,56703,65044,14.71,2,High Value
C0051,Retailer,Dindigul,315,2,174,19,121395,3,59926,56600,-5.55,2,Low Value
C0052,Retailer,Chennai,290,1,290,2,264022,3,96668,98514,1.91,1,Low Value
C0053,Retailer,Erode,345,3,121,8,530982,6,41822,46301,10.71,0,Low Value
C0054,Retailer,Tirunelveli,266,3,82,6,431695,2,25000,23532,-5.87,0,Low Value
C0055,Contractor,Erode,481,4,114,12,641539,3,58272,64437,10.58,3,Low Value
C0056,Retailer,Coimbatore,1100,9,131,13,999554,2,128557,143123,11.33,3,Regular
C0057,Dealer,Tirunelveli,538,8,56,28,822205,9,29517,28965,-1.87,2,Low Value
C0058,Dealer,Coimbatore,392,7,53,9,376413,4,25000,27055,8.22,1,Low Value
C0059,Dealer,Chennai,383,6,64,4,498089,2,25131,27378,8.94,0,Regular
C0060,Dealer,Salem,190,1,191,5,247258,2,27525,28620,3.98,1,Low Value
C0061,Dealer,Dindigul,731,8,90,5,771485,8,58203,59908,2.93,0,Regular
C0062,Dealer,Erode,431,5,89,5,661981,3,30986,31132,0.47,2,Regular
C0063,Retailer,Tirunelveli,407,6,73,22,408337,3,25052,26530,5.9,4,Low Value
C0064,Dealer,Coimbatore,1800,20,96,12,1683047,5,192187,257300,33.88,5,High Value
C0065,Dealer,Coimbatore,530,5,98,11,587899,4,39721,38799,-2.32,6,Low Value
C0066,Contractor,Tirunelveli,298,4,72,3,328321,1,25000,25910,3.64,1,Low Value
C0067,Dealer,Trichy,356,5,81,13,842886,7,25198,24447,-2.98,1,Low Value
C0068,Retailer,Madurai,846,13,72,16,1031281,4,60714,75213,23.88,2,High Value
C0069,Dealer,Coimbatore,479,7,57,7,517029,6,26310,30599,16.3,2,Regular
C0070,Retailer,Trichy,204,4,54,5,169667,7,25000,26077,4.31,2,Low Value
C0071,Retailer,Trichy,746,9,67,20,591465,1,40770,47640,16.85,3,Regular
C0072,Dealer,Trichy,312,6,52,4,289174,7,25000,25780,3.12,2,Low Value
C0073,Dealer,Madurai,1261,16,94,4,1352643,18,112727,149882,32.96,0,High Value
C0074,Retailer,Madurai,815,8,94,4,1035029,6,65767,81446,23.84,3,High Value
C0075,Contractor,Erode,352,7,44,7,592803,10,25000,26445,5.78,7,Regular
C0076,Contractor,Coimbatore,910,12,82,9,1019991,9,69810,79562,13.97,2,High Value
C0077,Retailer,Coimbatore,467,5,81,15,493170,7,29260,26978,-7.8,3,Low Value
C0078,Dealer,Salem,719,7,98,11,802407,9,73401,81159,10.57,1,Regular
C0079,Dealer,Trichy,587,7,89,11,595713,10,46054,52654,14.33,2,Regular
C0080,Dealer,Erode,283,4,66,18,569754,10,25000,26793,7.17,2,Low Value
C0081,Retailer,Tirunelveli,316,4,77,3,368897,2,25000,26177,4.71,1,Low Value
C0082,Contractor,Madurai,793,10,85,2,858689,9,65942,72945,10.62,1,High Value
C0083,Dealer,Coimbatore,374,8,50,12,223001,4,25000,21928,-12.29,3,Low Value
C0084,Dealer,Dindigul,360,6,62,7,429548,10,25025,25218,0.77,3,Low Value
C0085,Dealer,Erode,266,4,64,15,449478,7,25000,24382,-2.47,2,Low Value
C0086,Dealer,Chennai,568,9,66,8,537673,2,33137,34360,3.69,2,Low Value
C0087,Contractor,Salem,1399,14,99,5,1342064,11,129596,171546,32.37,2,High Value
C0088,Contractor,Trichy,250,4,66,12,430625,3,25000,28088,12.35,0,Low Value
C0089,Retailer,Erode,456,9,47,8,393401,4,25000,26240,4.96,2,Low Value
C0090,Contractor,Trichy,978,11,87,8,1165236,13,66873,78462,17.33,3,High Value
C0091,Dealer,Erode,431,3,136,31,413493,5,47055,46081,-2.07,3,Low Value
C0092,Contractor,Salem,577,5,115,17,578822,4,62918,66712,6.03,3,Regular
C0093,Retailer,Chennai,251,1,245,13,165485,5,48744,45425,-6.81,2,Low Value
C0094,Contractor,Chennai,570,5,105,8,664866,4,53161,57132,7.47,3,Regular
C0095,Retailer,Trichy,406,4,104,8,763285,8,34174,36751,7.54,0,Regular
C0096,Contractor,Trichy,774,6,131,6,898680,4,101842,115071,12.99,0,Regular
C0097,Contractor,Trichy,865,10,93,9,826536,5,90887,105938,16.56,1,High Value
C0098,Contractor,Trichy,1800,20,87,5,1981274,7,179885,249303,38.59,2,High Value
C0099,Dealer,Tirunelveli,619,5,127,3,623148,6,70759,68573,-3.09,1,Regular
C0100,Dealer,Coimbatore,538,9,64,8,805238,3,34074,37488,10.02,2,Regular
C0101,Dealer,Madurai,501,7,75,10,681651,8,41051,41642,1.44,5,Regular
C0102,Contractor,Erode,371,6,55,15,109173,3,25000,23230,-7.08,0,Low Value
C0103,Dealer,Dindigul,542,5,110,4,475210,2,61160,60114,-1.71,1,Regular
C0104,Contractor,Erode,383,6,67,8,585876,1,25000,26115,4.46,2,Low Value
C0105,Retailer,Erode,494,4,124,11,561099,4,50993,52441,2.84,2,Low Value
C0106,Dealer,Trichy,929,13,55,11,897799,1,46553,47130,1.24,3,Regular
C0107,Contractor,Coimbatore,259,3,88,21,255119,3,25000,25092,0.37,0,Low Value
C0108,Retailer,Tirunelveli,842,11,94,6,693952,5,81377,84062,3.3,2,Regular
C0109,Dealer,Salem,929,9,100,4,962045,10,79067,93615,18.4,0,High Value
C0110,Dealer,Madurai,422,3,135,8,734983,4,49824,52320,5.01,1,Low Value
C0111,Dealer,Tirunelveli,140,3,50,7,326592,2,25000,25688,2.75,4,Low Value
C0112,Dealer,Trichy,322,2,163,6,635550,4,57517,65541,13.95,5,Low Value
C0113,Retailer,Trichy,918,12,86,5,1105188,9,74794,80104,7.1,0,High Value
C0114,Retailer,Chennai,444,2,212,10,599698,4,92138,94994,3.1,0,Low Value
C0115,Contractor,Chennai,260,5,58,5,592889,11,25000,25198,0.79,3,Regular
C0116,Retailer,Chennai,341,2,175,13,434122,5,54555,56748,4.02,1,Low Value
C0117,Retailer,Madurai,715,10,70,12,780283,7,41392,46231,11.69,1,Regular
C0118,Dealer,Dindigul,608,8,79,10,811719,6,50340,53028,5.34,4,Low Value
C0119,Retailer,Trichy,395,3,140,3,621211,10,44285,45459,2.65,2,Low Value
C0120,Contractor,Madurai,368,5,81,9,390204,16,25000,24585,-1.66,0,Low Value
C0121,Retailer,Dindigul,363,5,63,15,356962,3,25000,26832,7.33,0,Low Value
C0122,Retailer,Erode,271,2,142,13,346013,5,32076,32926,2.65,0,Low Value
C0123,Dealer,Dindigul,1094,11,99,12,1236680,10,94520,119171,26.08,0,High Value
C0124,Dealer,Tirunelveli,377,1,300,8,503221,6,106324,107249,0.87,2,Low Value
C0125,Dealer,Salem,879,11,80,8,783250,1,65379,70511,7.85,4,High Value
C0126,Contractor,Chennai,1039,9,114,17,1295543,4,122406,132052,7.88,4,Regular
C0127,Retailer,Madurai,779,9,96,10,768210,6,74737,85290,14.12,1,Regular
C0128,Retailer,Coimbatore,355,4,88,10,392942,12,31482,30541,-2.99,0,Low Value
C0129,Dealer,Coimbatore,562,8,61,37,540381,5,35503,40658,14.52,4,Low Value
C0130,Contractor,Trichy,444,5,86,6,836199,2,33107,31230,-5.67,4,Low Value
C0131,Contractor,Salem,274,3,93,1,372948,6,25000,25980,3.92,1,Low Value
C0132,Dealer,Chennai,538,8,77,7,526183,11,38327,45805,19.51,0,Regular
C0133,Dealer,Madurai,235,3,83,7,414421,3,25000,25802,3.21,3,Low Value
C0134,Dealer,Trichy,865,11,72,9,1034546,3,71247,81136,13.88,3,Regular
C0135,Retailer,Salem,349,5,90,11,409123,3,33785,31775,-5.95,3,Low Value
C0136,Dealer,Madurai,503,3,170,1,639423,2,69764,66994,-3.97,0,Low Value
C0137,Contractor,Dindigul,526,8,76,11,519065,5,30071,33334,10.85,1,Regular
C0138,Contractor,Chennai,390,6,64,8,419350,5,25000,28380,13.52,1,Low Value
C0139,Dealer,Chennai,621,5,128,6,421624,1,67376,70071,4.0,4,Low Value
C0140,Retailer,Chennai,347,4,93,2,259076,3,25679,24249,-5.57,3,Low Value
C0141,Retailer,Dindigul,727,8,101,19,1005866,5,70735,64567,-8.72,0,Regular
C0142,Dealer,Coimbatore,215,2,116,6,478721,7,27264,25432,-6.72,3,Low Value
C0143,Contractor,Salem,482,6,87,12,564595,9,43808,45959,4.91,0,Regular
C0144,Dealer,Chennai,1307,18,70,4,1601502,8,76508,104296,36.32,1,High Value
C0145,Dealer,Trichy,260,5,47,10,336791,5,25000,26110,4.44,3,Low Value
C0146,Dealer,Dindigul,310,1,300,7,321291,1,88644,90514,2.11,2,Low Value
C0147,Contractor,Tirunelveli,597,8,82,12,685231,4,52581,54532,3.71,1,Low Value
C0148,Contractor,Salem,497,9,53,6,590459,1,28597,28663,0.23,1,Regular
C0149,Dealer,Dindigul,546,7,87,4,597276,5,52912,61907,17.0,1,Regular
C0150,Dealer,Dindigul,589,9,77,8,820858,3,43253,46756,8.1,1,Regular
C0151,Retailer,Salem,638,12,46,7,779316,1,30161,27914,-7.45,1,Regular
C0152,Dealer,Dindigul,828,12,62,9,1008298,6,40798,44131,8.17,2,Regular
C0153,Dealer,Salem,564,7,79,14,762166,11,43492,44301,1.86,2,Regular
C0154,Contractor,Salem,394,7,59,3,540482,1,25000,24685,-1.26,0,Low Value
C0155,Retailer,Salem,651,8,77,14,607917,6,46252,51798,11.99,1,Regular
C0156,Dealer,Tirunelveli,1279,15,96,3,1179806,4,123229,150992,22.53,0,High Value
C0157,Contractor,Madurai,418,4,108,12,496154,3,38499,39130,1.64,0,Low Value
C0158,Retailer,Dindigul,263,6,44,12,349999,3,25000,26982,7.93,5,Low Value
C0159,Dealer,Dindigul,827,8,92,5,884437,4,57374,61964,8.0,1,Regular
C0160,Contractor,Madurai,421,8,42,4,526924,4,25000,29270,17.08,0,Regular
C0161,Dealer,Dindigul,136,3,48,4,536629,5,25000,23338,-6.65,0,Low Value
C0162,Contractor,Madurai,717,6,102,8,596823,3,58079,63986,10.17,0,Regular
C0163,Contractor,Coimbatore,335,5,75,12,180956,3,25000,24592,-1.63,1,Low Value
C0164,Contractor,Tirunelveli,428,1,300,7,490685,7,107662,113659,5.57,4,Low Value
C0165,Dealer,Trichy,540,8,93,1,584829,2,57488,63024,9.63,1,Regular
C0166,Retailer,Tirunelveli,500,8,81,5,633928,6,35332,38636,9.35,0,Regular
C0167,Dealer,Dindigul,665,7,94,5,794316,4,50069,52077,4.01,2,Regular
C0168,Dealer,Chennai,354,4,88,11,577993,3,30162,28075,-6.92,1,Low Value
C0169,Dealer,Madurai,597,11,62,11,533583,13,40463,51534,27.36,1,High Value
C0170,Contractor,Trichy,390,4,111,9,387694,2,44209,43484,-1.64,0,Low Value
C0171,Contractor,Salem,676,6,100,14,773051,12,58706,67864,15.6,2,Regular
C0172,Dealer,Erode,631,10,49,15,823806,8,30135,29192,-3.13,0,Regular
C0173,Contractor,Salem,269,7,33,5,650864,3,25000,24542,-1.83,2,Low Value
C0174,Dealer,Trichy,818,10,86,4,1004984,8,73249,83042,13.37,6,High Value
C0175,Contractor,Salem,335,6,60,7,424935,1,25000,25960,3.84,7,Low Value
C0176,Dealer,Chennai,702,11,72,9,696848,3,55514,49946,-10.03,5,Regular
C0177,Contractor,Tirunelveli,551,5,101,5,535635,2,61107,65513,7.21,0,Regular
C0178,Dealer,Madurai,1237,14,70,42,1223326,6,84995,91778,7.98,4,Regular
C0179,Retailer,Tirunelveli,398,7,64,19,575928,7,25000,26035,4.14,4,Low Value
C0180,Dealer,Chennai,371,8,40,5,517190,6,25000,24048,-3.81,0,Low Value
C0181,Dealer,Erode,445,6,58,3,366412,5,27805,27558,-0.89,1,Regular
C0182,Dealer,Coimbatore,381,3,128,5,382542,8,36686,37585,2.45,2,Low Value
C0183,Retailer,Salem,699,12,65,15,918456,8,52105,53288,2.27,1,Regular
C0184,Retailer,Erode,185,1,184,15,286449,3,28020,26095,-6.87,1,Low Value
C0185,Dealer,Madurai,252,2,122,19,381437,3,28841,25634,-11.12,0,Low Value
C0186,Contractor,Erode,250,4,61,4,381451,7,25000,22112,-11.55,1,Low Value
C0187,Retailer,Salem,759,12,60,11,1059322,5,38254,45048,17.76,2,High Value
C0188,Contractor,Madurai,1153,15,66,4,1263375,5,71587,79877,11.58,0,High Value
C0189,Contractor,Coimbatore,425,6,65,21,461927,5,25000,25040,0.16,5,Low Value
C0190,Dealer,Salem,410,6,73,4,385609,1,27177,29354,8.01,1,Regular
C0191,Dealer,Madurai,468,6,81,3,574753,3,31117,31307,0.61,4,Regular
C0192,Retailer,Chennai,853,11,79,3,639166,6,60342,65616,8.74,3,High Value
C0193,Retailer,Coimbatore,270,1,262,8,294385,3,63623,64380,1.19,3,Low Value
C0194,Contractor,Salem,513,5,101,12,546349,4,59443,66856,12.47,1,Regular
C0195,Dealer,Madurai,769,10,59,12,684913,6,52083,53562,2.84,2,Regular
C0196,Dealer,Dindigul,593,5,120,3,527658,9,56637,61587,8.74,4,Regular
C0197,Contractor,Erode,499,7,83,6,680309,9,43090,40948,-4.97,2,Regular
C0198,Retailer,Erode,780,9,75,5,873685,10,45086,50127,11.18,1,High Value
C0199,Retailer,Tirunelveli,102,5,20,3,233915,4,25000,24342,-2.63,2,Low Value
C0200,Retailer,Madurai,653,11,62,5,798812,4,32070,33042,3.03,5,Regular
C0201,Contractor,Tirunelveli,314,3,115,18,389015,2,41028,39075,-4.76,3,Low Value
C0202,Dealer,Madurai,164,2,78,3,387544,11,25000,22775,-8.9,1,Low Value
C0203,Dealer,Madurai,596,7,80,9,680412,4,39459,42442,7.56,4,Regular
C0204,Retailer,Coimbatore,958,10,80,18,834314,11,62436,76977,23.29,0,High Value
C0205,Contractor,Chennai,417,5,84,18,685066,6,29641,27996,-5.55,4,Low Value
C0206,Dealer,Tirunelveli,760,7,125,22,849441,9,90841,96037,5.72,3,Regular
C0207,Dealer,Salem,1092,11,101,10,1064490,5,107853,131289,21.73,5,High Value
C0208,Contractor,Coimbatore,927,12,77,11,856542,7,59861,73958,23.55,1,High Value
C0209,Dealer,Trichy,1109,14,82,5,1233160,9,95726,105720,10.44,1,High Value
C0210,Dealer,Erode,677,6,113,3,708389,3,66848,72443,8.37,1,Regular
C0211,Contractor,Coimbatore,469,7,60,7,746548,10,31485,34205,8.64,1,Regular
C0212,Contractor,Chennai,186,1,193,16,203591,2,36354,34624,-4.76,2,Low Value
C0213,Contractor,Trichy,393,5,80,1,368564,13,29068,26094,-10.23,2,Regular
C0214,Dealer,Tirunelveli,283,5,57,5,483046,5,25000,26162,4.65,0,Low Value
C0215,Contractor,Salem,1485,17,80,11,1652284,3,127967,174944,36.71,3,High Value
C0216,Dealer,Trichy,409,6,79,8,514888,8,27988,29463,5.27,2,Regular
C0217,Dealer,Madurai,482,5,102,17,625863,6,43554,42043,-3.47,1,Low Value
C0218,Contractor,Salem,609,7,83,15,672128,1,56834,57738,1.59,1,Low Value
C0219,Contractor,Salem,461,5,100,2,554914,4,37613,44259,17.67,2,Regular
C0220,Retailer,Trichy,1143,12,91,8,1330349,2,79763,99728,25.03,4,High Value
C0221,Contractor,Erode,320,3,100,4,458038,2,29812,31473,5.57,1,Low Value
C0222,Contractor,Madurai,501,3,161,4,516537,2,86346,92917,7.61,0,Regular
C0223,Dealer,Coimbatore,299,3,85,2,527434,7,26906,26397,-1.89,3,Low Value
C0224,Dealer,Erode,218,2,113,9,50000,8,27536,27156,-1.38,4,Low Value
C0225,Dealer,Coimbatore,321,3,92,17,630099,3,28448,28044,-1.42,2,Low Value
C0226,Dealer,Salem,441,5,78,10,305135,1,27175,28860,6.2,4,Regular
C0227,Retailer,Coimbatore,355,4,72,2,349499,1,25189,28323,12.44,2,Low Value
C0228,Dealer,Trichy,307,5,61,8,391040,15,25000,28115,12.46,2,Regular
C0229,Retailer,Erode,208,4,51,11,282222,5,25000,22115,-11.54,1,Low Value
C0230,Contractor,Coimbatore,430,4,105,7,609269,8,36981,39444,6.66,1,Regular
C0231,Retailer,Dindigul,197,1,189,10,127510,4,28108,28991,3.14,1,Low Value
C0232,Contractor,Trichy,684,6,105,5,759692,1,70919,80124,12.98,2,Regular
C0233,Contractor,Trichy,471,5,98,7,465965,6,50990,51449,0.9,2,Low Value
C0234,Contractor,Madurai,202,2,97,6,306117,12,25000,30502,22.01,0,Regular
C0235,Dealer,Salem,380,3,129,19,426227,3,56021,51052,-8.87,3,Low Value
C0236,Contractor,Coimbatore,298,1,291,3,351452,1,67225,62418,-7.15,2,Low Value
C0237,Dealer,Dindigul,536,5,109,1,524609,2,64921,70160,8.07,0,Regular
C0238,Dealer,Chennai,941,11,96,19,945642,8,97168,125454,29.11,1,High Value
C0239,Contractor,Erode,160,3,58,9,281473,6,25000,23045,-7.82,3,Low Value
C0240,Dealer,Trichy,479,5,93,3,655396,10,50757,53670,5.74,4,Regular
C0241,Retailer,Dindigul,412,4,105,14,401406,5,37427,41144,9.93,4,Low Value
C0242,Retailer,Tirunelveli,651,6,107,12,596098,7,77021,83668,8.63,2,Regular
C0243,Retailer,Tirunelveli,506,6,84,21,650715,4,46852,47096,0.52,2,Low Value
C0244,Dealer,Dindigul,298,2,146,9,348400,2,45817,47494,3.66,3,Low Value
C0245,Dealer,Tirunelveli,378,6,62,31,567960,7,25000,25295,1.18,3,Low Value
C0246,Retailer,Salem,290,1,292,7,224804,8,67575,73792,9.2,5,Low Value
C0247,Contractor,Madurai,813,9,82,12,660517,3,64185,77022,20.0,4,Regular
C0248,Retailer,Madurai,455,6,68,13,469790,12,27621,29864,8.12,1,Regular
C0249,Retailer,Erode,1280,15,74,43,1251038,12,101056,122227,20.95,7,Regular
C0250,Retailer,Salem,435,11,27,6,567295,2,25000,26198,4.79,5,Regular
C0251,Dealer,Tirunelveli,305,4,67,6,305829,2,25000,25955,3.82,2,Low Value
C0252,Dealer,Chennai,196,1,197,13,342522,2,29188,28342,-2.9,3,Low Value
C0253,Retailer,Madurai,167,2,76,3,206372,4,25000,24642,-1.43,2,Low Value
C0254,Dealer,Madurai,188,1,192,4,264857,4,40622,43559,7.23,2,Low Value
C0255,Dealer,Salem,521,6,87,7,608766,2,48306,55856,15.63,2,Regular
C0256,Contractor,Coimbatore,595,5,103,21,664145,3,49155,46176,-6.06,3,Low Value
C0257,Retailer,Trichy,189,4,52,13,280755,1,25000,24070,-3.72,3,Low Value
C0258,Contractor,Chennai,736,8,98,8,857872,1,54697,57126,4.44,4,Regular
C0259,Contractor,Madurai,345,4,78,5,320771,1,26950,26664,-1.06,4,Low Value
C0260,Dealer,Chennai,488,4,125,26,705730,15,61114,66144,8.23,5,Low Value
C0261,Contractor,Trichy,1092,16,61,8,1166816,14,76255,96394,26.41,3,High Value
C0262,Retailer,Tirunelveli,737,8,93,4,640064,8,62319,69592,11.67,2,High Value
C0263,Dealer,Coimbatore,388,8,38,30,523369,3,25000,21220,-15.12,2,Low Value
C0264,Contractor,Chennai,276,5,41,3,267458,1,25000,23298,-6.81,2,Low Value
C0265,Retailer,Madurai,138,3,43,18,308140,5,25000,25462,1.85,2,Low Value
C0266,Contractor,Madurai,303,4,75,8,645703,6,25559,21012,-17.79,1,Low Value
C0267,Contractor,Coimbatore,401,6,64,13,393461,3,27493,30223,9.93,0,Regular
C0268,Contractor,Chennai,261,1,252,11,348735,6,60554,62716,3.57,2,Low Value
C0269,Dealer,Chennai,419,4,102,13,268489,2,42907,47575,10.88,2,Low Value
C0270,Dealer,Trichy,469,7,69,31,612119,3,35355,34825,-1.5,3,Low Value
C0271,Retailer,Salem,398,5,79,28,367014,4,29752,25221,-15.23,5,Low Value
C0272,Retailer,Dindigul,315,1,300,5,279770,14,79066,85399,8.01,2,Regular
C0273,Retailer,Tirunelveli,494,6,77,11,434746,3,31111,35146,12.97,1,Regular
C0274,Retailer,Madurai,574,10,67,2,770758,6,28846,33164,14.97,1,Regular
C0275,Contractor,Chennai,247,5,40,14,465827,2,25000,23258,-6.97,2,Low Value
C0276,Contractor,Madurai,978,11,93,16,1041106,2,72257,82489,14.16,4,Regular
C0277,Retailer,Trichy,426,7,70,1,417369,3,25274,25428,0.61,1,Regular
C0278,Contractor,Erode,455,5,95,8,712493,5,37569,37077,-1.31,0,Low Value
C0279,Contractor,Madurai,664,4,164,13,597351,13,106081,124804,17.65,1,Regular
C0280,Retailer,Chennai,512,4,124,10,298756,3,57722,55557,-3.75,2,Low Value
C0281,Retailer,Salem,760,12,72,3,920007,8,55807,59652,6.89,0,High Value
C0282,Dealer,Salem,527,6,76,3,462377,14,30930,31654,2.34,2,Regular
C0283,Dealer,Chennai,321,3,99,7,502483,6,25410,23260,-8.46,2,Low Value
C0284,Dealer,Madurai,549,6,88,6,567913,9,45881,50143,9.29,1,Regular
C0285,Contractor,Coimbatore,240,7,44,6,435446,3,25000,26858,7.43,7,Low Value
C0286,Dealer,Chennai,478,9,56,2,757480,6,25000,26268,5.07,0,Regular
C0287,Contractor,Madurai,442,10,36,8,425637,7,25000,23572,-5.71,2,Regular
C0288,Contractor,Coimbatore,401,4,98,21,395938,2,43553,46040,5.71,0,Low Value
C0289,Dealer,Madurai,419,6,65,3,494069,2,27963,32233,15.27,4,Regular
C0290,Contractor,Madurai,160,1,154,7,407506,4,25000,23292,-6.83,2,Low Value
C0291,Dealer,Coimbatore,333,7,55,12,363044,3,25000,24235,-3.06,2,Low Value
C0292,Dealer,Madurai,474,3,147,2,442560,4,79429,86721,9.18,0,Regular
C0293,Retailer,Chennai,491,6,95,8,621727,1,47693,54928,15.17,2,Regular
C0294,Dealer,Salem,256,1,263,15,235333,13,61739,60442,-2.1,3,Low Value
C0295,Dealer,Tirunelveli,903,9,109,3,968853,9,101448,108904,7.35,3,High Value
C0296,Contractor,Trichy,279,2,136,9,149966,20,39937,43931,10.0,2,Low Value
C0297,Retailer,Trichy,767,8,95,15,1088670,2,77382,88711,14.64,3,Regular
C0298,Dealer,Madurai,569,6,83,30,468925,6,44448,45955,3.39,2,Low Value
C0299,Contractor,Salem,315,3,101,8,340140,3,29332,28364,-3.3,5,Low Value
C0300,Dealer,Salem,1195,16,79,4,1278852,2,71220,90806,27.5,1,High Value
C0301,Dealer,Madurai,233,1,243,1,514573,9,63449,67154,5.84,5,Regular
C0302,Contractor,Erode,746,9,74,4,658119,5,54725,58134,6.23,3,Regular
C0303,Contractor,Madurai,780,12,62,2,1120044,4,40200,45313,12.72,0,High Value
C0304,Contractor,Chennai,311,3,102,22,466211,6,35460,31769,-10.41,4,Low Value
C0305,Contractor,Salem,968,10,86,14,1067851,2,92903,110081,18.49,2,High Value
C0306,Retailer,Dindigul,392,4,103,3,338044,2,46258,46739,1.04,0,Low Value
C0307,Contractor,Salem,527,9,53,4,699487,3,30714,31632,2.99,5,Regular
C0308,Dealer,Tirunelveli,519,6,85,8,501332,10,50693,54424,7.36,0,Regular
C0309,Retailer,Coimbatore,418,4,101,15,630299,9,35796,37235,4.02,3,Low Value
C0310,Dealer,Tirunelveli,703,9,72,11,664023,2,55015,63053,14.61,2,Regular
